current node = 19,op = LOADB,unmapped nodes = 27,mapped nodes = 0,freeMemNodes = 32,unmappedMemNodes = 6,II = 4,btCredits = 0,CGRA=stdnoc_2x4tiles_2x1PEs.json,MaxHops=4,BB = ,mutexPathEn = 1,Iter = 0
estimatedRouteInfo[node].size = 32
current node = 20,op = CMERGE,unmapped nodes = 26,mapped nodes = 1,freeMemNodes = 31,unmappedMemNodes = 5,II = 4,btCredits = 0,CGRA=stdnoc_2x4tiles_2x1PEs.json,MaxHops=4,BB = _0_0,mutexPathEn = 1,Iter = 0
estimatedRouteInfo[node].size = 40
current node = 0,op = SELECT,unmapped nodes = 25,mapped nodes = 2,freeMemNodes = 31,unmappedMemNodes = 5,II = 4,btCredits = 0,CGRA=stdnoc_2x4tiles_2x1PEs.json,MaxHops=4,BB = ,mutexPathEn = 1,Iter = 0
estimatedRouteInfo[node].size = 49
current node = 1,op = ADD,unmapped nodes = 24,mapped nodes = 3,freeMemNodes = 31,unmappedMemNodes = 5,II = 4,btCredits = 0,CGRA=stdnoc_2x4tiles_2x1PEs.json,MaxHops=4,BB = ,mutexPathEn = 1,Iter = 0
estimatedRouteInfo[node].size = 4
current node = 2,op = CMP,unmapped nodes = 23,mapped nodes = 4,freeMemNodes = 31,unmappedMemNodes = 5,II = 4,btCredits = 0,CGRA=stdnoc_2x4tiles_2x1PEs.json,MaxHops=4,BB = ,mutexPathEn = 1,Iter = 0
estimatedRouteInfo[node].size = 4
current node = 21,op = CMERGE,unmapped nodes = 22,mapped nodes = 5,freeMemNodes = 31,unmappedMemNodes = 5,II = 4,btCredits = 0,CGRA=stdnoc_2x4tiles_2x1PEs.json,MaxHops=4,BB = _0_1,mutexPathEn = 1,Iter = 0
estimatedRouteInfo[node].size = 3
current node = 8,op = OLOAD,unmapped nodes = 21,mapped nodes = 6,freeMemNodes = 31,unmappedMemNodes = 5,II = 4,btCredits = 0,CGRA=stdnoc_2x4tiles_2x1PEs.json,MaxHops=4,BB = ,mutexPathEn = 1,Iter = 0
estimatedRouteInfo[node].size = 58
current node = 16,op = OLOAD,unmapped nodes = 20,mapped nodes = 7,freeMemNodes = 31,unmappedMemNodes = 5,II = 4,btCredits = 0,CGRA=stdnoc_2x4tiles_2x1PEs.json,MaxHops=4,BB = ,mutexPathEn = 1,Iter = 0
estimatedRouteInfo[node].size = 57
