147	0
148	0
150	0
152	0
154	0
166	0
115	0
0	0
111	0
113	0
116	2
120	2
123	1
126	1
129	1
132	3
135	3
138	3
141	0
114	0
112	0
163	0
144	0
145	0
104	0
108	0
1	0
100	0
106	0
110	0
102	0
101	0
103	0
107	0
109	0
105	0
162	0
142	0
97	0
2	3
89	0
143	0
93	0
90	0
91	0
92	0
95	0
96	0
99	0
98	3
94	3
161	3
139	3
140	3
82	3
86	3
3	3
78	3
84	3
79	3
80	3
81	3
85	3
88	3
87	3
83	3
160	3
136	3
137	3
71	3
75	3
4	3
67	3
77	3
73	3
69	3
68	3
70	3
74	3
76	3
72	3
159	3
133	3
60	1
64	1
5	1
56	3
134	3
66	3
62	3
57	3
58	3
59	3
63	3
65	1
61	1
158	1
130	1
131	1
6	1
45	1
53	1
49	1
51	1
47	1
46	1
48	1
52	1
55	1
54	1
50	1
157	1
127	1
7	1
34	1
42	1
128	1
38	1
35	1
36	1
37	1
40	1
41	1
44	1
43	1
39	1
156	1
124	1
125	1
27	2
31	2
8	2
23	1
29	1
33	1
25	1
24	2
26	1
30	1
32	2
28	2
155	2
121	2
9	2
12	2
16	2
19	2
13	2
122	2
17	2
18	2
22	2
117	2
153	2
20	2
14	2
10	2
118	2
21	2
151	2
15	2
149	2
11	2
146	2
167	0
20164	2
20165	2
